"branded_food_category","avg_protein_g","avg_fat_g","avg_carbs_g","avg_calories","avg_sugar_g","total_products"
"Sauces","0.43","1.72","2.85","24.4","2.53","272"
"Snack, Energy & Granola Bars","1.01","1.04","3.06","24.19","1.33","622657"
"Baking/Cooking Mixes/Supplies","0.37","0.73","4.38","24.11","1.88","83163"
"Smoked fish","3.57","1.02","0.06","24.11","0.07","66"
"Health Supplements and Vitamins","4.02","0.43","0.86","24.03","0.51","118"
"Grains","0.81","0.16","6.26","24.01","0.06","168"
"Rice","0.5","0.07","5.24","23.9","0.03","120141"
"Frozen Meat","1.87","1.22","1.19","23.85","0.28","102"
"Baking/Cooking Mixes (Perishable)","0.32","1.03","3.82","23.79","1.84","414"
"Jam, Jelly & Fruit Spreads","0.03","0.04","5.94","23.67","5.05","123176"
"Salads","0.82","1.28","1.88","23.47","0.4","57"
"Cheese","1.48","1.82","0.36","23.39","0.13","1049925"
"Sauces - Cooking (Shelf Stable)","0.27","0.84","3.34","23.39","0.41","676"
"Vitamins/Minerals/Nutritional Supplements","3.95","0.47","1.48","23.35","0.25","79"
"Pasta Dinners","0.81","0.39","4.1","23.22","0.43","97364"
"Stuffing","0.69","0.35","4.23","23.2","0.42","21049"
"Food/Beverage/Tobacco Variety Packs","0.7","1.13","3.44","23.2","0.49","395"
"Vegetable and Lentil Mixes","1.32","0.21","4.56","23.18","0.37","106993"
"Coffee","0.55","0.7","3.57","23.08","1.96","17117"
"Meat/Poultry/Other Animals Sausages  Prepared/Processed","1.06","2.02","0.21","22.87","0.05","21076"
"Flavored Rice Dishes","0.6","0.14","4.7","22.68","0.18","51544"
"Oils Edible","0.0","2.54","0.0","22.61","0.0","11213"
"All Noodles","0.72","0.33","4.15","22.53","0.21","61685"
"Dough Based Products / Meals - Not Ready to Eat - Savoury (Shelf Stable)","0.73","0.29","4.6","22.49","0.44","786"
"Includes any products that can be described/observed as a fine powder derived from grains, roots or tubers. These products have been treated or packaged in such a way as to extend their consumable life. Specifically excludes products such as Cornflour. Excludes products such as Whole Grains, Bread and Baking Mixes.","0.49","0.1","4.63","22.38","0.0","82"
"Frozen Bread & Dough","0.53","0.86","3.06","22.02","0.49","68327"
"Sweet Spreads","0.97","2.03","2.15","22.01","1.55","2277"
"Frozen Sausages, Hotdogs & Brats","1.17","1.8","0.26","21.88","0.09","14214"
"Milk Additives","0.3","0.92","2.86","21.75","1.84","117648"
"Herbs & Spices","0.59","0.7","3.74","21.7","0.78","67592"
"Vegetarian","1.09","0.76","2.16","21.38","0.29","76"
"Breakfast Sandwiches, Biscuits & Meals","0.83","1.24","1.61","21.02","0.38","14797"
"Includes any products that can be described/observed as a leavened or unleavened, dough-based baked product. These products do not typically contain eggs and tend to have lower fat content than other dough products such as pastry. These products must be frozen to extend their consumable life. Includes such products as naan, chapatti, loaves, rolls, bagels, focaccia, ciabatta, baguette. Also includes rye bread, bread made from rice flour and part baked bread products. Excludes products such as Shelf-Stable and Perishable Bread Products, Dried Breads, Frozen Baking Mixes and Baking Supplies, and Pies and Pastries.","0.43","0.79","2.97","20.85","0.17","87"
"Lunch Snacks & Combinations","0.94","1.24","1.55","20.78","0.68","52609"
"Berries/Small Fruit","0.0","0.0","5.1","20.77","4.35","134"
"Dough Based Products / Meals - Not Ready to Eat - Savoury (Frozen)","0.53","0.74","2.95","20.74","0.35","525"
"Grains/Flour","0.6","0.12","4.4","20.68","0.56","18842"
"Frozen Fish/Seafood","2.36","0.76","1.2","20.54","0.24","764"
"Grain Based Products / Meals - Not Ready to Eat - Savoury (Shelf Stable)","0.6","0.34","5.13","20.53","0.37","70"
"Pasta by Shape & Type","0.75","0.18","4.03","20.46","0.15","469564"
"Includes any products that can be described/observed as a food made from ground pork, which may be prepared using a specific, regionally based process. The ground meat is mixed with other ingredients such as animal fat, salt, spices, herbs, vegetables or fruit and then typically packed in a casing, which may be link shaped or form a rope or ring, or sold without a casing such as bologna and some frankfurters. Some sausages are cooked during processing and may be preserved by curing, drying in cool air, or smoking.","1.13","1.69","0.1","20.45","0.05","56"
"Flour - Cereal/Pulse (Shelf Stable)","0.54","0.04","4.35","20.41","0.0","294"
"Bread/Bakery Products Variety Packs","0.42","0.61","3.46","20.34","1.19","4287"
"Processed Cereal Products","0.45","0.55","3.75","20.29","1.34","234182"
"Butter/Butter Substitutes","0.03","3.19","0.1","20.25","0.01","4630"
"Sausages, Hotdogs & Brats","1.15","1.62","0.25","20.22","0.11","240615"
"Meat/Poultry/Other Animals Sausages - Prepared/Processed","0.92","1.98","0.28","20.17","0.06","10123"
"Herbs/Spices (Shelf Stable)","0.0","0.0","4.22","20.0","0.0","90"
"Bread (Shelf Stable)","0.43","0.58","3.24","19.79","0.08","75"
"Popcorn (Shelf Stable)","0.46","1.67","3.44","19.74","0.47","212"
"Energy, Protein & Muscle Recovery Drinks","1.9","0.54","1.97","19.72","0.82","200225"
"Includes any products that can be described/observed as a savoury dough-based not ready to eat, prepared/processed product, such as Pasta, Gnocchi, Noodles or Batter, with other ingredients, such as meat, dairy, eggs, fish, vegetables and/or seasoning. An optional seasoning/flavour packet may be present. These ingredients form a valuable part of the product, such as the meat/tomato sauce in Spaghetti Bolognaise, or cheese sauce in Macaroni and Cheese. They may or may not contain a sauce. These products are not ready to eat and require cooking prior to consumption. These products may have a main component which is considered a meal without any additional components. These products must be fro","0.45","0.66","2.97","19.49","0.18","168"
"Cereal","0.46","0.38","3.71","19.46","1.12","675991"
"Canned Fish and Meat","1.97","1.14","0.5","19.45","0.21","541"
"Meat/Poultry/Other Animals – Prepared/Processed","1.49","1.57","0.22","19.4","0.08","2650"
"Dressings/Dips (Shelf Stable)","0.05","1.99","0.59","19.4","0.43","287"
"Cheese/Cheese Substitutes","1.3","1.5","0.53","19.29","0.18","11505"
"Mexican Dinner Mixes","0.51","0.56","3.21","19.28","0.12","101574"
"Pies/Pastries - Sweet (Frozen)","0.19","0.96","2.43","19.08","0.98","60"
"Fruits, Vegetables & Produce","1.37","0.11","3.81","19.04","0.25","434"
"Wholesome Snacks","0.16","0.26","4.05","18.84","2.94","350055"
"Frozen Bacon, Sausages & Ribs","1.16","1.39","0.41","18.75","0.13","24378"
"Gravy Mix","0.33","0.42","3.09","18.69","0.43","42576"
"Bread (Frozen)","0.48","0.42","3.23","18.67","0.68","3064"
"Meat/Poultry/Other Animals  Prepared/Processed","1.46","1.3","0.41","18.65","0.07","140056"
"Sweet Bakery Products","0.28","0.72","2.96","18.59","1.18","55568"
"Prepared Wraps and Burittos","0.9","0.8","1.9","18.53","0.19","31362"
"Other Frozen Desserts","0.23","0.92","2.24","17.78","1.45","112026"
"Snacks Other","0.62","0.51","2.68","17.75","0.64","169"
"Seasoning Mixes, Salts, Marinades & Tenderizers","0.37","0.36","3.37","17.73","0.99","297013"
"Seasonings/Preservatives/Extracts Variety Packs","0.37","0.22","3.69","17.33","0.51","1578"
"Sandwiches/Filled Rolls/Wraps (Frozen)","0.98","0.73","1.68","17.32","0.27","600"
"Drinks","0.12","0.36","3.46","17.24","2.59","95"
"Breads & Buns","0.57","0.29","3.14","17.15","0.36","737260"
"Pizza","0.71","0.73","1.83","16.68","0.21","230105"
"Bread","0.49","0.38","2.86","16.6","0.51","67946"
"Other Condiments","0.07","0.05","3.73","16.43","3.29","22219"
"Pizza Mixes & Other Dry Dinners","0.64","0.36","2.67","16.32","0.28","31189"
"Prepared Subs & Sandwiches","0.95","0.68","1.59","16.26","0.22","51372"
"Puddings & Custards","0.13","0.24","3.45","16.25","2.29","70671"
"Frozen Appetizers & Hors D'oeuvres","0.74","0.76","1.58","16.15","0.21","295585"
"Meat/Poultry/Other Animals  Unprepared/Unprocessed","1.52","1.11","0.04","16.13","0.01","63066"
"Non Alcoholic Beverages - Not Ready to Drink","0.19","0.25","3.75","16.1","3.08","6627"
"Condiments, Oils & Dressing","0.13","1.38","1.33","16.04","0.78","507"
"Baking","0.11","0.13","10.57","16.01","2.26","826"
"Meat Substitutes","0.84","0.85","1.39","15.95","0.24","157"
"Savoury Bakery Products","0.74","0.75","1.76","15.94","0.25","64818"
"Dough Based Products / Meals","0.59","0.39","2.8","15.91","0.31","58450"
"Frozen Breakfast Sandwiches, Biscuits & Meals","0.67","0.85","1.4","15.85","0.2","61648"
"Ice Cream & Frozen Yogurt","0.26","0.73","2.14","15.78","1.65","810481"
"Pepperoni, Salami & Cold Cuts","1.47","0.98","0.26","15.77","0.13","256717"
"Alcohol","0.12","0.13","3.55","15.54","3.02","38311"
"Cream/Cream Substitutes","0.0","0.74","1.97","15.52","1.48","5605"
"Other Frozen Meats","1.26","1.01","0.3","15.36","0.17","9453"
"Sugars/Sugar Substitute Products","0.01","0.01","3.9","15.34","2.35","1924"
"Meat/Poultry/Other Animals - Prepared/Processed","1.1","0.99","0.55","15.31","0.09","116253"
"Frozen Patties and Burgers","1.04","0.96","0.62","15.18","0.08","71455"
"Miscellanious","0.33","0.8","1.88","14.94","1.24","1874"
"Other Meats","1.33","0.89","0.34","14.83","0.07","114022"
"Cream","0.19","1.27","0.53","14.74","0.39","102065"
"Pies/Pastries/Pizzas/Quiches - Savoury (Frozen)","0.78","0.71","1.83","14.65","0.31","1077"
"Fruit  Prepared/Processed","0.12","0.13","3.47","14.61","2.57","24199"
"Sandwiches/Filled Rolls/Wraps","0.72","0.65","1.55","14.44","0.19","31765"
"Deli Salads","0.46","0.93","1.06","14.17","0.36","70548"
"Cereal/Muesli Bars","0.41","0.66","3.22","14.04","1.35","13077"
"Meat/Poultry/Other Animals - Unprepared/Unprocessed","1.34","0.94","0.04","14.01","0.03","9134"
"Frozen Pancakes, Waffles, French Toast & Crepes","0.31","0.48","2.09","13.83","0.45","80562"
"Other Soups","0.48","0.37","2.12","13.68","0.33","172838"
"Includes products from mature animals of the genus Bos that have been subjected to one or more further manufacturing processes such as being cooked, dried, cured, ground, or reformed. Specifically excludes Meat/Poultry Sausages - Prepared/Processed. Excludes Beef - Unprepared/Unprocessed.","1.02","0.8","0.59","13.66","0.16","56"
"Vegetables  Unprepared/Unprocessed (Shelf Stable)","1.12","0.08","3.32","13.64","0.14","313"
"Includes any products that can be described/observed as frozen food made from the curd of milk, separated from the whey, sometimes fermented, and usually pressed, cooked, smoked, matured, or heated and mixed with artificial ingredients, such as emulsifiers, colourings and flavourings. These products must be frozen to extend their consumable life. These products include natural, processed cheese, cheese with added ingredients, such as herbs and nuts, in blocks, rolls, slices, grated, cubes, spreadable and portions.","0.72","0.76","0.86","13.37","0.25","322"
"Includes products from animals of the domestic pig ( Sus Scrofa Domesticus) that have been subjected to one or more further manufacturing processes such as being cooked, dried, cured, ground, or reformed.","1.0","0.77","0.58","13.27","0.19","154"
"Entrees, Sides & Small Meals","0.35","0.29","2.31","13.21","0.19","85792"
"Vegetarian Frozen Meats","0.98","0.6","1.03","13.11","0.15","19491"
"Cooked & Prepared","1.34","0.63","0.46","12.99","0.3","67059"
"Non Alcoholic Beverages  Not Ready to Drink","0.26","0.38","3.53","12.88","3.05","5836"
"Grain Based Products / Meals","0.5","0.19","2.63","12.87","0.26","10761"
"Oriental, Mexican & Ethnic Sauces","0.24","0.49","1.82","12.76","1.2","161784"
"Ketchup, Mustard, BBQ & Cheese Sauce","0.08","0.4","2.02","12.6","1.54","300589"
"Includes products from mature animals of the genus Bos that have been subjected to one or more further manufacturing processes such as being cooked, dried, cured, ground, or reformed.","1.01","0.74","0.45","12.39","0.15","812"
"Chicken - Prepared/Processed","1.03","0.6","0.68","12.25","0.06","1718"
"Canned Meat","1.14","0.78","0.16","12.23","0.06","45275"
"Other Deli","0.55","0.55","1.27","11.94","0.28","156310"
"Fruit - Prepared/Processed","0.11","0.13","2.75","11.91","2.19","10470"
"Pastry Shells & Fillings","0.08","0.15","2.56","11.9","1.76","28624"
"Desserts/Dessert Sauces/Toppings","0.14","0.49","2.05","11.87","1.28","34434"
"Sushi","0.46","0.35","1.61","11.54","0.34","19959"
"Includes products from animals of the species Meleagris gallopavo that have been subjected to one or more further manufacturing processes such as being cooked, dried, cured, ground, or reformed.","0.94","0.55","0.69","11.47","0.2","98"
"Fish & Seafood","1.31","0.54","0.36","11.46","0.12","67834"
"Canned Seafood","1.29","0.61","0.18","11.35","0.07","75604"
"Poultry, Chicken & Turkey","1.49","0.53","0.13","11.32","0.05","37267"
"Fruits - Unprepared/Unprocessed (Shelf Stable)","0.1","0.0","2.95","11.15","2.41","90"
"Weight Control","0.62","0.59","0.96","11.03","0.33","11926"
"Eggs/Eggs Substitutes","0.75","0.76","0.19","11.01","0.02","1328"
"Vegetables  Prepared/Processed","0.52","0.09","2.08","11.0","0.49","63691"
"Frozen Poultry, Chicken & Turkey","1.24","0.46","0.42","10.86","0.09","24660"
"Dairy Foods/Yoghurts","0.76","0.57","1.14","10.83","1.0","277"
"Includes products from animals of the domestic pig ( Sus Scrofa Domesticus) that have been subjected to one or more further manufacturing processes such as being cooked, dried, cured, ground, or reformed. Specifically excludes Meat/Poultry Sausages - Prepared/Processed. Excludes Pork - Unprepared/Unprocessed.","1.05","0.44","0.49","10.83","0.34","84"
"Pasta/Noodles - Not Ready to Eat (Frozen)","0.38","0.36","1.85","10.83","0.11","76"
"French Fries, Potatoes & Onion Rings","0.16","0.44","1.57","10.76","0.12","61318"
"Fruits/Vegetables/Nuts/Seeds Variety Packs","0.05","0.0","2.45","10.72","2.43","120"
"Fish  Prepared/Processed","0.99","0.41","0.76","10.7","0.04","3835"
"Meat/Poultry/Other Animals – Unprepared/Unprocessed","1.2","0.64","0.04","10.35","0.01","4278"
"Turkey - Unprepared/Unprocessed","1.53","0.42","0.02","10.32","0.01","244"
"Pickles, Olives, Peppers & Relishes","0.14","0.66","0.95","10.31","0.48","465819"
"Dips & Salsa","0.22","0.64","0.91","10.17","0.41","383135"
"Chips/Crisps/Snack Mixes - Natural/Extruded (Shelf Stable)","0.19","0.98","2.17","10.17","0.2","8928"
"Frozen Dinners & Entrees","0.48","0.38","1.15","9.93","0.18","351959"
"Includes any products that can be described/observed as a frozen substance, which can be heated and combined with other ingredients, such as pasta, rice and chicken, to produce a specific recipe, such as Bolognese, Carbonara, Chicken Korma or Thai Curry.","0.25","0.26","1.64","9.9","1.15","224"
"Fish - Prepared/Processed","0.92","0.48","0.87","9.83","0.22","1988"
"Drinks - Juices, Drinks and Cordials","0.1","0.09","2.08","9.8","1.42","215"
"Other Cooking Sauces","0.09","0.33","1.47","9.73","1.11","85987"
"Canned/Dried Veges","0.44","0.35","1.02","9.54","0.28","79"
"Milk/Cream - Shelf Stable","0.47","0.55","0.86","9.51","0.83","95"
"Baking/Cooking Supplies (Shelf Stable)","0.23","0.62","2.63","9.38","0.88","1049"
"Liquid Water Enhancer","0.1","0.04","2.99","9.33","1.8","26293"
"Milk/Milk Substitutes","0.41","0.42","1.16","9.24","1.04","2627"
"Frozen Prepared Sides","0.3","0.33","1.35","9.22","0.18","51616"
"Ice Cream/Ice Novelties (Shelf Stable)","0.25","0.17","2.81","9.12","0.59","909"
"Fruits  Unprepared/Unprocessed (Shelf Stable)","0.08","0.0","2.43","9.06","2.0","104"
"Frozen Fish & Seafood","1.15","0.29","0.36","8.79","0.05","223352"
"Vegetable Based Products / Meals","0.49","0.29","1.38","8.78","0.21","36968"
"Meal Replacement Supplements","0.95","0.27","0.66","8.64","0.19","20990"
"Fruit - Prepared/Processed (Shelf Stable)","0.08","0.02","3.04","8.63","2.25","5853"
"Biscuits/Cookies (Shelf Stable)","0.26","0.73","2.34","8.6","0.58","29839"
"Sauces/Spreads/Dips/Condiments","0.11","0.51","0.92","8.24","0.52","86867"
"Canned Tuna","1.45","0.24","0.06","8.23","0.02","70897"
"Eggs & Egg Substitutes","0.8","0.48","0.13","8.2","0.04","53564"
